,llegada_fila,TEA_caja,inicio_servicio_caja,fin_servicio_caja,ts_caja_seg,inicio_servicio_armado,fin_servicio_armado,ts_armado_seg,WIP_i,ts,,,,
0,45586,0,45586,45612,26.58,45742,45875,133.013,6,289,,,,
1,45486,68.65,45616,45650,33.92,45777,45924,147.027,7,438,,,,
2,45552,66.2,45656,45695,38.53,45822,45954,132.012,6,402,,,,
3,45574,21.48,45696,45782,85.83,45955,46216,261.021,11,642,,,,
4,45581,7.49,45817,45835,18.58,46047,46279,231.051,10,698,,,,
5,45603,22.11,45839,45887,48.18,46085,46283,197.017,9,680,,,,
6,45660,56.86,45888,45915,26.95,46204,46319,115.055,9,659,,,,
7,45813,152.71,45921,45973,52.23,46256,46340,84.024,8,527,,,,
8,45922,108.86,45978,46001,22.76,46406,46430,24.024,7,508,,,,
9,45938,15.99,46003,46036,33.29,46441,46486,46.046,7,548,,,,
10,45941,2.92,46036,46075,39.05,46479,46561,82.022,6,620,,,,
11,45978,37.72,46113,46151,37.91,46527,46588,61.001,5,610,,,,
12,45992,13.34,46179,46209,30.56,46600,46620,19.019,4,628,,,,
13,46113,121.44,46213,46249,36.11,46644,46685,41.041,4,572,,,,
14,46174,61.16,46310,46365,55.56,46688,46814,126.006,6,640,,,,
15,46210,35.3,46469,46520,51.57,46730,46876,146.026,6,666,,WIP,6,
16,46294,84.4,46670,46722,51.89,46902,46960,58.058,5,666,,Entidad,4,
17,46317,23.11,46724,46762,37.76,46967,47013,46.046,4,696,,W,607.3888889,seg
18,46458,140.65,46763,46791,27.87,47033,47037,4.004,3,579,,,,
19,46670,212.49,46797,46849,51.24,47108,47130,22.022,2,460,,Lambda,101.2314815,entidad/seg
20,46708,37.88,46850,46858,8.81,47185,47242,57.057,1,534,,T calentamiento,0.0395134,seg
,,,,,,,,,,,,T corrida,0.434647398,seg
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,574.3809524,9.573015873,,,,,,
