,llegada_fila,TEA_caja,inicio_servicio_caja,fin_servicio_caja,ts_caja_segs,inicio_servicio_armado,fin_servicio_armado
0,45413,0.0,45459,45486,27.0,45551,45644
1,45415,2.01,45487,45537,50.0,45555,45651
2,45528,112.63,45539,45572,33.0,45602,45771
3,45529,1.26,45574,45588,14.0,45608,45772
4,45551,21.66,45591,45649,58.0,45671,45773
5,45730,179.41,45749,45824,75.0,45827,45911
6,45846,116.25,45851,45892,41.0,45893,45961
7,45924,77.42,45931,45989,58.0,45993,46077
8,45950,25.93,45990,46047,57.0,46051,46229
9,46301,351.08,46308,46359,51.0,46363,46434
10,46306,5.19,46361,46427,66.0,46430,46547
11,46413,106.65,46444,46473,29.0,46484,46560
12,46424,11.4,46478,46531,53.0,46540,46626
13,46770,346.37,46772,46846,74.0,3655,46982
14,47025,252.63,47078,47137,59.0,3940,47266
15,47178,149.71,47182,47259,77.0,4065,47414
16,47179,0.75,47260,47270,10.0,4072,47524
17,47255,76.79,47271,47314,43.0,4155,47614
18,47360,104.33,47368,47410,42.0,4216,47668
19,47596,236.55,47611,47685,74.0,4489,47799
